	Taxon	Confidence
0001e9647af93de910d25e693156fb6a	k__Fungi;p__Ascomycota	0.982641641617347
000209c8100a89e11ab93ce320763e6f	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Genolevuria;s__unidentified	0.76234303023237
000c1ea6e5b1e40002e820be9528938a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia	0.999999697553202
000cef60631bedcaee35214ebfb5d855	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Ochroconis;s__unidentified	0.999690075374198
0011c1d5dffe970a2bc0c83af2fa034a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Phlebia;s__Phlebia_margaritae	0.999936021382255
00158b1404902009ce605322d92da764	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Coleosporiaceae;g__Chrysomyxa	0.857130526310026
001c18aa35d5e3a4b03554055904add0	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Parmeliaceae;g__Parmelia	0.967979815376102
0021c4d005f253de7929979666304f9f	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.999999837031553
00298c021e5357003b489f39850825a8	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mytilinidiales;f__Mytilinidiaceae;g__Lophium;s__Lophium_arboricola	0.999994727558304
002a1865d08fab4c22ee86f758eda97e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meripilaceae	0.999989938883719
002a2575f116a7e4ec930b0f1201602b	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.993240910093822
0033dd415ba12e218c351c54c8d23aef	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.993849652970146
00377884e680845671e8c9f0505fb059	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__unidentified;g__unidentified;s__unidentified	0.999064014663065
003a5e8f19b6ef3ed2940601b533ced8	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Thermomyces;s__Thermomyces_dupontii	0.999671501331714
003a8c0f6c8ba624999e9b5a1d85e6fc	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza;s__Peziza_fimeti	0.898822863916991
003b5202eb6c25494e5834758ad1d9ef	k__Fungi;p__Ascomycota	0.939779107155364
003ce9e21def9f5919fb26ef1f853804	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae	0.999883590448019
004dcd10f649a57667bdefb998aed765	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Alutaceodontia;s__Alutaceodontia_alutacea	0.999999991117136
004ea25c790bff0dd1451801351c5485	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Phlebia;s__Phlebia_livida	0.999911871694976
00564c40d3e3cb7d5bfa86d62c3cd5a6	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Chaetosphaeronema;s__unidentified	0.999961493710521
00599ebc497af470d86b2fbcbc6353e0	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Blumeria;s__Blumeria_graminis	0.999999237958412
006543ce576ad45f95e04eaa1712bdd4	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_spinulosum	0.733390720862926
0069cb7cfac31e5209dcc92fb1c01669	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Verrucocladosporium;s__Verrucocladosporium_dirinae	0.971839759858343
006e958c0e33202706b7f24abe3a583f	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella;s__unidentified	0.999858241352014
006ffa1fe98810bd0f2622b0a6549afd	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_spinulosum	0.85232024771328
00722c8c55eeab0fedfc194e9c08e2ed	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Trechispora;s__Trechispora_byssinella	0.999999742282545
0074571e2818b5b492c10bfc812ad42d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Elasticomyces;s__Elasticomyces_elasticus	0.994006793944903
007cf8c34014e57523ae6e1ba4973625	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__unidentified;g__unidentified;s__unidentified	0.996692248320412
00833c38dcfd7b55fa3da1ea37205d3c	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Hispidoconidioma;s__Hispidoconidioma_alpinum	0.999839867419675
0087a3f198ddc580794342d95098c221	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Mycoacia;s__Mycoacia_uda	0.999989594399774
008dcebcbd5c493dd3207d4abbd66d0c	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Melampsoraceae;g__Melampsora	0.99731183725724
00984ab412dd3e43c6642b97c80adec1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.882205689222575
009ad256a7f8a6e709705f73a9cd5b2d	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Ascobolaceae;g__Ascobolus;s__unidentified	0.993268027458685
009b57daae90042a65f48035598802a7	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae;g__Phellinus;s__Phellinus_viticola	0.999995491475675
00a15ad83d4f7a0d85fb44394fa9098b	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Scopuloides;s__unidentified	0.836484389000999
00a376a3e425c21e1ab0da1805a0981d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Hyphodontia;s__Hyphodontia_crustosa	0.998230919873813
00ad9bbb06b1bc39038e70f8509d9012	k__Fungi;p__Ascomycota	0.9859359674026
00b97c0c9f17375b365320e10a90d6b5	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.876760839344995
00cb285edf17396bd9b2ed67dffb3510	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides	0.983238127592315
00cc594245006d432d873a2499d66c16	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_nigrum	0.876408452293514
00ccf1e1703d86c0d955221e41d3f116	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Mycoacia;s__Mycoacia_aurea	0.997373045905001
00d4baf5c5895148b1d53aedfa6f3ae2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_oregonensis	0.865593625647544
00d72afe08abc741d6cb77e539f39c31	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__Hypoxylon;s__Hypoxylon_rubiginosum	0.999628148883431
00d9a68e40e5e1fd5620c987123032f2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Xenomeris;s__unidentified	0.733745603169647
00ee45be0f967154ca5f94a6d71028e0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Microascus	0.939871288392634
00eedceb49ff60fce7ff46566b2adf77	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Cronartiaceae;g__unidentified;s__unidentified	0.972039580708577
00f1ecb23e7c07a0ec3147b73d1c8d42	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_alternata	0.723582935193457
00f260f0298220d9302ce68473355cf2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae	0.80211274694734
00f2c63a9732e89265abd456d895c7ea	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_oregonensis	0.803280581526318
00f41889b2cf82859b704abc083734c6	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeria;s__Leptosphaeria_etheridgei	0.989677720964219
